ADB COMMANDES COMPLÈTES - RÉFÉRENCE EXHAUSTIVE
============================================

Format: NOM | COMMANDE | CATÉGORIE | ROOT_REQUIS | DESCRIPTION

--- CONNEXION ET APPAREILS ---
Liste_appareils | adb devices | Connexion | Non | Liste tous les appareils connectés
Liste_détaillée | adb devices -l | Connexion | Non | Liste détaillée des appareils avec infos
Connexion_TCP | adb tcpip <port> | Connexion | Non | Active la connexion TCP/IP
Connexion_WiFi | adb connect <ip>:<port> | Connexion | Non | Se connecte via WiFi
Déconnexion_WiFi | adb disconnect <ip>:<port> | Connexion | Non | Se déconnecte du WiFi
Déconnexion_tous | adb disconnect | Connexion | Non | Déconnecte tous les appareils WiFi
USB_mode | adb usb | Connexion | Non | Retour au mode USB
Redémarrer_serveur | adb kill-server | Connexion | Non | Tue le serveur ADB
Démarrer_serveur | adb start-server | Connexion | Non | Démarre le serveur ADB
Version_ADB | adb version | Connexion | Non | Affiche la version ADB
Aide_ADB | adb help | Connexion | Non | Affiche l'aide ADB

--- REDÉMARRAGE ET MODES ---
Redémarrer | adb reboot | Redémarrage | Non | Redémarre l'appareil
Mode_recovery | adb reboot recovery | Redémarrage | Non | Redémarre en mode recovery
Mode_bootloader | adb reboot bootloader | Redémarrage | Non | Redémarre en mode bootloader
Mode_fastboot | adb reboot fastboot | Redémarrage | Non | Redémarre en mode fastboot
Mode_download | adb reboot download | Redémarrage | Non | Redémarre en mode download (Samsung)
Éteindre | adb shell su -c "reboot -p" | Redémarrage | Oui | Éteint l'appareil
Redémarrer_sideload | adb reboot sideload | Redémarrage | Non | Redémarre en mode sideload
Redémarrage_soft | adb shell su -c "setprop ctl.restart zygote" | Redémarrage | Oui | Redémarrage logiciel (soft reboot)

--- SHELL ET COMMANDES ---
Shell_interactif | adb shell | Shell | Non | Shell interactif Android
Commande_shell | adb shell <commande> | Shell | Non | Exécute une commande shell
Su_shell | adb shell su | Shell | Oui | Shell root interactif
Exécuter_su | adb shell su -c "<commande>" | Shell | Oui | Exécute une commande en root
Whoami | adb shell whoami | Shell | Non | Affiche l'utilisateur actuel
ID_utilisateur | adb shell id | Shell | Non | Affiche l'ID utilisateur
Environnement | adb shell env | Shell | Non | Variables d'environnement
Date_système | adb shell date | Shell | Non | Affiche la date système
Uptime | adb shell uptime | Shell | Non | Temps de fonctionnement
Processus_actifs | adb shell ps | Shell | Non | Liste des processus
Processus_détaillés | adb shell ps -ef | Shell | Non | Processus avec détails
Top_processus | adb shell top | Shell | Non | Moniteur de processus en temps réel
Tuer_processus | adb shell kill <pid> | Shell | Non | Tue un processus par PID
Kill_forcé | adb shell kill -9 <pid> | Shell | Non | Force la fin d'un processus
Killall_nom | adb shell killall <nom> | Shell | Non | Tue tous les processus par nom

--- TRANSFERT DE FICHIERS ---
Push_fichier | adb push <local> <distant> | Fichiers | Non | Copie fichier vers l'appareil
Pull_fichier | adb pull <distant> <local> | Fichiers | Non | Récupère fichier de l'appareil
Push_préservation | adb push --sync <local> <distant> | Fichiers | Non | Push avec préservation timestamps
Pull_préservation | adb pull -a <distant> <local> | Fichiers | Non | Pull avec préservation attributs
Sync_dossier | adb sync | Fichiers | Non | Synchronise /system et /data
Push_multiple | adb push <dir>/ <distant>/ | Fichiers | Non | Push récursif de dossier

--- NAVIGATION FICHIERS ---
Lister_fichiers | adb shell ls <chemin> | Navigation | Non | Liste fichiers/dossiers
Liste_détaillée | adb shell ls -la <chemin> | Navigation | Non | Liste avec permissions et dates
Liste_récursive | adb shell ls -R <chemin> | Navigation | Non | Liste récursive
Trouver_fichier | adb shell find <chemin> -name "<pattern>" | Navigation | Non | Recherche de fichiers
Localiser_fichier | adb shell locate <nom> | Navigation | Non | Localise un fichier
Which_commande | adb shell which <commande> | Navigation | Non | Localise une commande
Pwd_courant | adb shell pwd | Navigation | Non | Affiche répertoire courant
Changer_dossier | cd <chemin> (dans shell) | Navigation | Non | Change de répertoire
Créer_dossier | adb shell mkdir <chemin> | Navigation | Non | Crée un dossier
Créer_dossiers | adb shell mkdir -p <chemin> | Navigation | Non | Crée dossiers parents si besoin
Supprimer_fichier | adb shell rm <fichier> | Navigation | Non | Supprime un fichier
Supprimer_dossier | adb shell rm -rf <dossier> | Navigation | Non | Supprime dossier récursivement
Supprimer_forcé | adb shell rm -f <fichier> | Navigation | Non | Force la suppression
Copier_fichier | adb shell cp <source> <dest> | Navigation | Non | Copie un fichier
Copier_récursif | adb shell cp -r <source> <dest> | Navigation | Non | Copie récursivement
Déplacer_fichier | adb shell mv <source> <dest> | Navigation | Non | Déplace/renomme fichier
Lien_symbolique | adb shell ln -s <source> <lien> | Navigation | Non | Crée lien symbolique
Lien_dur | adb shell ln <source> <lien> | Navigation | Non | Crée lien dur
Toucher_fichier | adb shell touch <fichier> | Navigation | Non | Crée/met à jour fichier vide

--- PERMISSIONS FICHIERS ---
Voir_permissions | adb shell stat <fichier> | Permissions | Non | Détails permissions fichier
Changer_permissions | adb shell chmod <mode> <fichier> | Permissions | Parfois | Change permissions
Permissions_récursives | adb shell chmod -R <mode> <dossier> | Permissions | Parfois | Change permissions récursivement
Changer_propriétaire | adb shell su -c "chown <user>:<group> <fichier>" | Permissions | Oui | Change propriétaire
Propriétaire_récursif | adb shell su -c "chown -R <user>:<group> <dossier>" | Permissions | Oui | Change propriétaire récursivement
Contexte_SELinux | adb shell ls -Z <fichier> | Permissions | Non | Affiche contexte SELinux
Changer_contexte | adb shell su -c "chcon <contexte> <fichier>" | Permissions | Oui | Change contexte SELinux
Restaurer_contexte | adb shell su -c "restorecon <fichier>" | Permissions | Oui | Restaure contexte par défaut

--- LECTURE DE FICHIERS ---
Afficher_fichier | adb shell cat <fichier> | Lecture | Non | Affiche contenu fichier
Afficher_début | adb shell head <fichier> | Lecture | Non | Affiche début de fichier
Afficher_fin | adb shell tail <fichier> | Lecture | Non | Affiche fin de fichier
Suivre_fichier | adb shell tail -f <fichier> | Lecture | Non | Suit les modifications en temps réel
Afficher_numéros | adb shell cat -n <fichier> | Lecture | Non | Affiche avec numéros de ligne
Hexdump | adb shell hexdump <fichier> | Lecture | Non | Affichage hexadécimal
Od_octal | adb shell od <fichier> | Lecture | Non | Affichage octal
Strings_texte | adb shell strings <fichier> | Lecture | Non | Extrait chaînes de caractères
File_type | adb shell file <fichier> | Lecture | Non | Détermine type de fichier
Wc_compter | adb shell wc <fichier> | Lecture | Non | Compte lignes/mots/caractères
Grep_rechercher | adb shell grep "<pattern>" <fichier> | Lecture | Non | Recherche dans fichier
Grep_récursif | adb shell grep -r "<pattern>" <dossier> | Lecture | Non | Recherche récursive
Egrep_regex | adb shell egrep "<regex>" <fichier> | Lecture | Non | Recherche avec regex étendue
Sort_trier | adb shell sort <fichier> | Lecture | Non | Trie les lignes
Uniq_unique | adb shell uniq <fichier> | Lecture | Non | Élimine doublons
Cut_colonnes | adb shell cut -d'<sep>' -f<num> <fichier> | Lecture | Non | Extrait colonnes
Awk_traitement | adb shell awk '<script>' <fichier> | Lecture | Non | Traitement avancé
